"ID","Capability","Type","Priority","Observation","Limitations","Response","Source"
"intrusion","Restricted-area entry","Video candidate","High","An anonymous track crosses an approved boundary.","A crossing does not establish identity or permission.","Verify access and send a staff member.","https://help.axis.com/en-us/axis-object-analytics"
"tailgate","Close-following at entrance","Video candidate","Medium","Two tracks cross an entrance within a short interval.","Friends entering together may be legitimate; access events are needed.","Check access logs and entrance context.","https://help.axis.com/en-us/axis-object-analytics"
"wrongway","Movement against one-way flow","Video candidate","Medium","A track crosses a directional line against the configured flow.","Only meaningful while a one-way plan is active.","Ask a steward to assess crowd flow.","https://help.axis.com/en-us/axis-object-analytics"
"crowd","Crowding & queue pressure","Video candidate","High","Visible count exceeds a zone threshold for a set period.","Count is an estimate; it cannot measure crush forces or account for unseen people.","Reduce inflow and verify safe movement.","https://help.axis.com/en-us/axis-object-analytics"
"dwell","Prolonged presence","Video candidate","Medium","A track remains in an approved area beyond a dwell limit.","Waiting, disability and social activity are normal explanations.","Check context; do not label a person suspicious.","https://help.axis.com/en-us/axis-object-analytics"
"afterhours","After-hours public-area presence","Video candidate","Medium","Presence occurs during a scheduled restricted period.","Approved activities and staff rounds create legitimate exceptions.","Contact the duty warden or site lead.","https://help.axis.com/en-us/axis-object-analytics"
"fall","Possible fall / person down","Video candidate","High","A posture transition or person-down candidate needs welfare review.","Sport, sitting and occlusion can confuse a model; this is not a diagnosis.","Check welfare and activate first-aid response if needed.","https://www.hanwhavision.com/wp-content/uploads/2026/01/White-Paper_Slip-and-fall-detection.pdf"
"fight","Possible physical altercation","Video candidate","High","Rapid close interaction creates an evidence-review candidate.","Video cannot establish bullying, intent, blame or repeated abuse.","Protect pupils and review the wider context.","https://arxiv.org/abs/2202.09550"
"blade","Visible blade concern","Video candidate","Critical","A visible object may resemble a blade.","Experimental candidate; tools and props can look similar. Concealed objects are not detectable.","Use the approved emergency protocol and human verification.","https://arxiv.org/abs/2303.10703"
"firearm","Visible firearm concern","Video candidate","Critical","A visible weapon-like object needs urgent review.","Firearm evidence does not validate knife detection. Vendor geography and camera constraints apply.","Immediately assess and follow emergency procedures.","https://www.omnilert.com/blog/what-is-visual-gun-detection-technology-training-and-impact"
"exit","Blocked exit / changed scene","Video candidate","High","A persistent scene change appears in a marked exit zone.","A scene change is not a certified fire-safety inspection.","Verify the exit and remove obstructions safely.","https://i-pro.com/products_and_solutions/en/surveillance/newsroom/i-pro-introduces-industrys-first-ai-scene-change-detection-capability"
"door","Door held open","Sensor integration","Medium","A door contact remains open beyond its allowed period.","Requires a door contact or separately validated scene model.","Check the door and approved delivery schedule.","https://i-pro.com/products_and_solutions/en/surveillance/newsroom/i-pro-introduces-industrys-first-ai-scene-change-detection-capability"
"left","Unattended item","Video candidate","Medium","An object remains after a scene change.","Cannot determine ownership or whether contents are dangerous.","Ask staff to assess using the school protocol.","https://i-pro.com/products_and_solutions/en/surveillance/newsroom/i-pro-introduces-industrys-first-ai-scene-change-detection-capability"
"removed","Item removal / theft report","Video candidate","High","A protected scene changes or an item is reported missing.","Removal may be authorised; CCTV cannot establish theft.","Check inventory and responsible staff before classification.","https://i-pro.com/products_and_solutions/en/surveillance/newsroom/i-pro-introduces-industrys-first-ai-scene-change-detection-capability"
"vandalism","Possible property damage","Staff report","High","A staff observation or reviewed scene suggests damage.","A changed scene alone cannot prove vandalism or identify the responsible person.","Restrict unsafe equipment and record evidence.","School workflow requirement"
"litter","Litter / housekeeping concern","Staff report","Low","A staff report records litter or a housekeeping problem.","Routine dropped-object analytics have not been validated for this school.","Create a housekeeping task without automatic sanctions.","School workflow requirement"
"truancy","Unexplained absence / early exit","Staff report","Medium","An attendance exception needs reconciliation.","Anonymous entry counts cannot establish which pupil left or whether leave was approved.","Reconcile the register and approved leave.","School workflow requirement"
"cheating","Exam integrity concern","Staff report","Low","An invigilator records a concern for review.","No gaze, face or behaviour-based cheating classifier is enabled.","Follow the examination evidence and appeal process.","School workflow requirement"
"vape","Vape / air-quality sensor event","Sensor integration","Medium","An environmental sensor reports a threshold event.","Humidity, aerosols and cleaning products require contextual review; no person is identified.","Check welfare and ventilation; verify the sensor.","https://halodetect.com/"
"smoke","Smoke / flame warning","Sensor integration","Critical","An approved fire device or specialist video system sends a warning.","Ordinary CCTV is not a substitute for an approved fire alarm system.","Follow the school fire response procedure.","https://catalog.boschbuildingtechnologies.com/lifesafetysystems/en/Video-based-Fire-Detection/c/22570758923"
"tamper","Camera obstruction / scene shift","Sensor integration","High","Feed health or view change suggests impaired coverage.","Dirt, lighting or maintenance may cause the event; intent is unknown.","Arrange a patrol and maintenance check.","https://help.axis.com/en-us/axis-object-analytics"
"stale","Stale feed / connection loss","Sensor integration","High","Capture timestamps stop advancing or the connection drops.","A network failure is not a normal or all-clear scene.","Mark coverage unavailable and initiate fallback patrols.","https://help.axis.com/en-us/axis-object-analytics"
"traffic","Vehicle dwell / pedestrian conflict","Video candidate","High","A vehicle remains in a configured pedestrian or drop-off area.","Perspective is not a calibrated speed measurement or proof of a near miss.","Ask a gate steward to separate traffic and pedestrians.","https://help.axis.com/en-us/axis-object-analytics"
"wellbeing","Welfare / mental-health concern","Staff report","High","A pupil, parent or staff member requests support.","No emotion, diagnosis, intent or suicide-risk inference is made from video.","Use the confidential safeguarding and support route.","School workflow requirement"
