"Rank","Tier","Recommendation","Category","School impact","Implementation effort","Needs cameras","Evidence basis","Current AiWAS state"
"1","Tier 1","Confidential pupil/family reporting as a standalone channel (no login, anonymous by default, QR, BM+EN, mobile, out-of-hours, reference-code follow-up, duty-roster routing, acknowledgement SLA)","Safeguarding","Very high","Medium","No","Say Something evaluation: ~1 fewer violence encounter per student at 9 months; NIJ tip-line reviews; misuse rare","Embedded preview inside staff Safeguarding tab; asks for a named safe contact rather than offering anonymity"
"2","Tier 1","CSTAG-shaped threat assessment and safeguarding casework (transient vs substantive decision tree, multidisciplinary team record, protective actions, mandatory review dates)","Safeguarding","Very high","Medium","No","CSTAG evidence base >23,000 cases; 5-step decision tree resolves most transient threats in 2 steps","Staged-record engine exists; decision tree and clinical model absent"
"3","Tier 1","Integrate with APDM, SSDM and MOEIS (attendance import; discipline export within SSDM restored misconduct-only scope; exact-schema CSV now, APIs later)","Integration","Very high","Low-Medium","No","MOE centralised systems; double data entry is the primary teacher-adoption failure","Parallel fictional presence register; no MOE schema alignment"
"4","Tier 1","Bahasa Melayu localisation, prioritising pupil, parent and consent flows, native-speaker reviewed","Accessibility","High","Medium","No","Responder population is wardens, guards, discipline teachers and parents","lang=\"en\" only; no localisation layer; timezone correct"
"5","Tier 1","Hostel night supervision hardening: time/location-stamped warden round verification, roll-call exception escalation to named duty officer with acknowledgement timer, private resident welfare log","Hostel","High","Medium","No","Zara Qairina case; MOE prohibits dormitory cameras; 149/200 boarding schools now camera-fitted","Hostel workspace exists; rounds and escalation are recorded, not enforced"
"6","Tier 2","Remove confidence scores and detector language from contextual categories (Bullying, Fighting, Violent behaviour, Vandalism, Littering)","Product integrity","High","Low","n/a","FTC v. Evolv; platform's own capability audit states video cannot establish bullying","AIW-1044 renders \"Bullying / Detection confidence 78% / the bullying detector flagged activity\""
"7","Tier 2","Converge on the 24-capability register; retire the 13-category legacy taxonomy; merge Detection rules into Detection studio","Product integrity","High","Medium","n/a","Single coherent answer to what the AI claims to detect","Two contradictory taxonomies and two unsynchronised config screens both ship"
"8","Tier 2","Acknowledgement and escalation infrastructure: delivery receipts, timers, automatic escalation to next role, full delivery audit trail","Response","High","High","No","Alert value depends almost entirely on delivery and acknowledgement","No notification delivery of any kind exists"
"9","Tier 2","Coverage availability as a headline safety metric (unavailable-camera-minutes per zone per day) with automatic fallback patrol tasking","Operations","Medium-High","Medium","Yes","A dark camera must never read as a quiet corridor","Partly modelled in System health; synthetic"
"10","Tier 2","Enforce evidence lifecycle in code: candidate to confirmed to retained, auto-deletion of unconfirmed material on a timer, logged deletions","Privacy","High","Medium","Yes","PDPA Amendment 2024; MOE retention commitment","Retention is a free-text field"
"11","Tier 2","Commit to cascade architecture: edge anonymisation before frames leave camera, pose/metadata-only transport, VLM used to describe candidates not label children, Malaysian residency, documented TIA","Architecture","High","High","Yes","Cerberus cascaded VLM anomaly detection; recoverable anonymisation research; PDPA cross-border guidelines 29 Apr 2025","No ingestion or inference exists; non-biometric stance is policy only"
"12","Tier 3","Backend with server-enforced authentication, authorization and tenant isolation","Platform","Blocker","High","No","Role picker cannot grant or enforce production access","Client-side role picker only"
"13","Tier 3","Durable storage with UUID keys; replace display-name relational keys before records become permanent","Platform","Blocker","High","No","Repository's own backend contract forbids display-name keys","schools is a string[]; incidents reference schools by name"
"14","Tier 3","Append-only audit log and concurrency control","Platform","Blocker","Medium","No","Immutable safeguarding audit trail is a legal expectation","In-memory history array; resets on refresh"
"15","Tier 3","Split app/page.tsx (2,907 lines, 40 useState) and add route-level code splitting","Engineering","Medium","Medium","No","Largest maintainability risk; blocks backend integration","Single 647 KB eager chunk; 199.54 KB gzip"
"16","Tier 3","Mobile responder surface with push notifications","Response","High","High","No","Teachers and wardens are not at desks","Responsive layout verified at 375px; no mobile app or push"
"17","Tier 3","PDPA operational artefacts: named DPO, per-capability DPIA, breach register and notification runbook, enforced retention schedule, TIA","Compliance","Blocker","Medium","No","PDPA Amendment 2024 in force Jan/Apr/Jun 2025; DPO and breach notification mandatory","No PDPA artefacts in repository"
"18","Tier 3","Clear remaining 8 lint findings; keyboard and screen-reader QA","Quality","Medium","Low","No","Accessibility not certified; a11y findings outstanding","8 findings; browser walk clean, a11y journeys untested"
"19","Tier 3","Add WebM/VP9 source alongside H.264 demonstration media","Quality","Low","Low","No","Removes a class of playback failure on Chromium builds without proprietary codecs","H.264 only; graceful fallback path verified working"
"NOT","Excluded","Facial recognition, identity watchlists or appearance search on minors","Excluded","Negative","n/a","n/a","Biometric data is sensitive personal data under amended PDPA; MOE excludes biometrics","Correctly absent; keep absent"
"NOT","Excluded","Emotion, mental-health, distress or violence-prediction inference from video","Excluded","Negative","n/a","n/a","No validated basis exists","Correctly routed to confidential support pathway"
"NOT","Excluded","Automated escalation from an AI alert to police","Excluded","Negative","n/a","n/a","Baltimore County Omnilert incident; proposed PDRM linkage raises the stakes","Not implemented; must stay prohibited by design"
"NOT","Excluded","Gaze or posture-based cheating classifiers","Excluded","Negative","n/a","n/a","Exam integrity is an invigilation process with an appeal route","Correctly modelled as a staff report"
"NOT","Excluded","Cameras in dormitories, bathrooms or changing rooms","Excluded","Negative","n/a","n/a","Prohibited by MOE policy","Studio zone selector correctly restricted to public areas"
"NOT","Excluded","Aggregate accuracy claims such as 80% now / 90% target","Excluded","Negative","n/a","n/a","No dataset, denominator, confusion matrix or operating conditions; the behaviour FTC sanctioned","Kept out of the UI; retained only in the source-review report"
