"PDF pages","Requirement group","UI workspace","Boundary"
"PDF 10, 25","Buli / pergaduhan / ganas","Incidents + Detection studio","Possible altercation and manual safeguarding; no bully labels"
"PDF 10, 25","Vandalisme / kecurian","Detection studio + Facilities & health","Scene-change candidate and staff verification"
"PDF 10, 25","Ponteng / merokok / vape","Detection studio + Attendance & presence","Register reconciliation and sensor-event preview"
"PDF 10, 25","Kesihatan mental / meniru / buang sampah","Detection studio + Safeguarding","Staff reporting; no inferred diagnosis or cheating"
"PDF 15–18","Anonymous movement, space and crowd analysis","Detection studio + Live cameras","Zones, schedules, counts, dwell and direction candidates"
"PDF 15, 25","System interruption and false alarms","Detection studio + System health","Unavailable feed outcome, validation and evaluation"
"PDF 12–13, 28–34","Voluntary participation, consent and three-school PoC","Pilot governance","Approval, participation, readiness, training and evaluation records"
"PDF 22","No biometrics; public areas only","Detection studio + Pilot governance","Public-zone guard and fixed biometric exclusion"
"PDF 23","Existing CCTV and upgrade options","Pilot governance","Compatibility and financing-option review"
"PDF 19, 25–26","School / JPN / KPM / authority routing","Notification routing + Pilot governance","Human-owned routing agreement; no messages sent"
"PDF 26","Confirmed evidence retention and routine disposal","Platform readiness + Pilot governance","Policy and reconciliation record; backend enforcement pending"
"PDF 25–26, 28","Pilot evaluation and adjustable thresholds","Detection studio","Calculated synthetic precision and recall"
"PDF 29–30","No-cost pilot and budgets","Pilot governance","Funding assurance and unresolved budget review"
