"requirement","group","mode","priority","signal","threshold_unit","default_trigger","review_route","document_starting_figure_unverified","implementation_boundary"
"Littering","Behaviour","event","Low","Possible dropped item in a public area","seconds","3","School admin","80%","An item drop does not establish deliberate littering."
"Cheating / exam concern","Behaviour","event","Medium","Paper passing or unusual movement during an exam","seconds","5","School admin","80%","Only an invigilator can determine whether exam rules were broken."
"Smoking / vaping","Behaviour","event","Medium","Possible cigarette or vape object and hand movement","seconds","5","School admin, Discipline teacher","80%","Small objects and gestures are ambiguous. No camera inside toilets."
"Truancy / skipping class","Behaviour","event","Low","Presence outside class during a configured lesson period","minutes","10","School admin, Discipline teacher","80%","Check timetable, permission and context before alleging absence."
"Theft concern","Behaviour","event","High","Possible item removal requiring an ownership check","seconds","5","School admin → authorised escalation","80%","Permission and ownership cannot be determined by video alone."
"Vandalism","Behaviour","event","High","Possible forceful contact with school property","seconds","3","School admin → authorised escalation","80%","Inspect damage and legitimate activity before confirmation."
"Bullying concern","Behaviour","event","High","Possible shoving, surrounding or cornering","seconds","3","School admin, Counsellor → authorised escalation","80%","No emotion inference, aggressor identification or victim label from video. Staff assess context."
"Fighting","Behaviour","event","High","Possible hitting or forceful physical contact","seconds","2","School admin → authorised escalation","80%","Sport and play can look similar. Review urgently without automatic punishment."
"Violent behaviour","Behaviour","event","High","Repeated forceful movements or threatening gestures","seconds","3","School admin → authorised escalation","80%","Video cannot establish intent. Request human review."
"System tampering","Security","event","High","Covered lens, moved view or interrupted camera signal","seconds","10","School admin, Platform operator","80%","Maintenance, lighting and network failure can trigger this signal."
"Crowd counting","Movement","event","Medium","Estimated count exceeds a configured zone threshold","people","90","School admin, Discipline teacher","0%","Threshold is a review trigger, not certified capacity."
"Entry / exit mismatch","Movement","event","High","Entry count minus exit count exceeds a review tolerance","people","2","School admin, Discipline teacher","0%","Missed crossings and occlusion require a physical check; no proof anyone remains inside."
"Unusual dwell time","Movement","event","Low","Anonymous presence persists beyond the zone timer","minutes","10","School admin, Discipline teacher","0%","Waiting or legitimate activity may explain a long dwell."
"Uniform context","Context tags","context","Context only","Staff-reviewed uniform context for an existing incident","seconds","1","School admin","0%","Context only; no standalone compliance alert. Allow unknown and approved exceptions."
"Person role context","Context tags","context","Context only","Staff-confirmed student, teacher, visitor or unknown role","seconds","1","School admin","0%","No gender inference from appearance. The matrix gender request is not automated; role remains unknown until staff confirm."
"Weapon-shaped object","Emergency","event","Critical","Possible knife, blunt weapon or firearm-shaped object","seconds","1","School duty lead → authorised emergency route","0%","A visual candidate is not proof of a weapon. Inert blade sample does not validate firearm detection."
"Fall / collapse","Emergency","event","High","Possible sudden fall or person lying motionless","seconds","3","School admin, Duty teacher / first-aid team","0%","This is a welfare alert, not a diagnosis; no health workspace is introduced."
"After-hours / restricted entry","Security","event","High","Person or vehicle crosses a restricted boundary or time window","seconds","3","School admin, Security guard","0%","Check permits and authorised activities. No biometric identification."
"Smoke / fire","Emergency","event","Critical","Possible visible smoke or flames","seconds","1","School duty lead → authorised fire response","0%","Video complements certified alarms; smoke and steam can be confused."
"Abandoned object","Security","event","Medium","Item remains unattended beyond a configured timer","minutes","5","School admin, Security guard","0%","An unattended item is not automatically dangerous."
"Fence climbing","Security","event","High","Possible climbing movement at a boundary","seconds","3","School admin, Security guard","0%","Inspect camera perspective and authorised maintenance."
"Drop-off / pick-up vehicles","Movement","event","Low","Vehicle remains at a gate beyond a configured dwell limit","minutes","5","School admin, Security guard","0%","Permission cannot be inferred without the authorised vehicle register."
