"Capability","Segment","Verkada","ZeroEyes","Raptor","Navigate360","CENTEGIX","Ambient.ai / Spot AI","STOPit","Securly Pass","AiWAS today","Adopt?","Priority"
"24/7 human verification of critical candidates","Verification","No","Yes - ZeroEyes Operations Center, 3-5s verified alert","No","No","No","Cloud SOC (Ambient)","Yes - 24/7 incident response centre","No","No","Yes - adopt the model, not the detector","1"
"Emergency accountability / real-time roll call","Emergency","No","No","Yes - Accountability module","Yes","Partial","No","No","Partial","No","Yes","2"
"Reunification / verified student release","Emergency","No","No","Yes","Yes","No","No","No","No","No","Yes","2"
"Drill management with after-action reporting","Compliance","No","No","Yes - Drill Manager","Yes","No","No","No","No","No","Yes","3"
"Incident map shared to first responders","Emergency","Partial - site maps","Alert includes last known location","Partial","Yes - site mapping","Yes - floor/room precision plus safety assets","No","No","No","Partial - 3D site map, internal only","Yes - add responder handoff","4"
"Digital hall pass / consented movement record","Movement","No","No","Partial","Yes","No","No","No","Yes - 12,000 schools, 8.6M students","No","Yes","5"
"Keep named students apart (safeguarding rule)","Safeguarding","No","No","No","No","No","No","No","Yes","No","Yes","5"
"Anonymous two-way messaging with reporter","Reporting","No","No","Partial","Partial","No","No","Yes - STOPit Messenger","No","No - preview only","Yes","6"
"Evidence attachment on a report (photo/video)","Reporting","n/a","n/a","Partial","Partial","No","n/a","Yes","No","No","Yes","6"
"Compound alerts (multi-condition rules)","Detection","Yes - Mar 2026","No","No","No","No","Partial","No","No","No - single threshold","Yes","7"
"Natural-language / semantic search","Detection","Partial","No","No","No","No","Yes - Ambient semantic search","No","No","No","Bounded - metadata and cases only, never footage of pupils","8"
"Visitor / contractor management","Access","Yes - Verkada Guest","No","Yes - registry and custody-order screening","Yes","No","Partial","No","No","No","Yes - non-biometric, local lists","9"
"Wearable / mobile panic button","Emergency","No","No","Yes - panic alerting","Yes - panic buttons and wearables","Yes - CrisisAlert badge, no Wi-Fi needed","No","No","No","No","Yes","9"
"On-premise / off-network deployment","Architecture","Cloud-first","Yes - off-network released Apr 2026","Cloud","Cloud","Private managed network","Edge plus cloud","Cloud","Cloud","n/a - no backend","Yes - PDPA residency advantage","10"
"School transport / stop-arm safety","Transport","No","No","Partial","No","No","No","No","No","No","Yes - via handover records, not face matching","11"
"Fall / slip detection","Detection","Yes - activity detection alerts","No","No","No","No","Yes","No","No","Yes - in register","Already have","-"
"Fighting / altercation candidate","Detection","Yes - all orgs 20 Feb 2026","No","No","No","No","Yes","No","No","Yes - as review candidate","Already have","-"
"Crowd density and queue pressure","Detection","Yes - LPR zones and occupancy","No","No","No","No","Yes","No","No","Yes","Already have","-"
"Coverage gap reported as unknown, never zero","Integrity","Not stated","n/a","n/a","n/a","n/a","Not stated","n/a","n/a","Yes - enforced in code and tests","AiWAS ahead","-"
"Per-capability stated limitations","Integrity","No","No","No","No","No","No","No","No","Yes - all 153 capabilities","AiWAS ahead","-"
"Written excluded-detection list with reasons","Integrity","No","No","No","No","No","No","No","No","Yes - 39 exclusions","AiWAS ahead","-"
"Confidence shown only for video candidates","Integrity","No","n/a","n/a","n/a","n/a","No","n/a","n/a","Yes - enforced in code and tests","AiWAS ahead","-"
"Precision/recall with 'Not measured' state","Integrity","No","No","No","No","No","No","No","No","Yes - PoC evaluation","AiWAS ahead","-"
"Capability off by default, enabled per device","Governance","Yes - people analytics off by default","n/a","n/a","n/a","n/a","No","n/a","n/a","No - register is always on","Yes - makes exclusions a runtime control","7"
"Facial recognition of pupils","Excluded","Yes - with face detection enabled","No","No","No","No","Scylla yes","No","No","No","REFUSE - biometric is sensitive data under amended PDPA; MOE excludes biometrics","-"
"Appearance-based cross-camera re-identification","Excluded","Yes - AI Unified Timeline","No","No","No","No","Yes","No","No","No","REFUSE - identification by another name on a school campus","-"
"Student device / content monitoring","Excluded","No","No","No","No","No","No","No","Partial","No","REFUSE - no independent evidence of reduced harm; active privacy litigation","-"
"Automated police dispatch from a model output","Excluded","No","No - human verifies first","No","No","No","No","No","No","No","REFUSE - especially given the proposed PDRM linkage","-"
